date,hour,energy_kWh
2015-06-02,15,0.682
2015-06-02,16,1.254
2015-06-02,17,2.144
2015-06-02,18,2.711
2015-06-02,19,3.165
2015-06-02,20,1.506
2015-06-02,21,1.137
2015-06-02,22,1.19
2015-06-02,23,1.102
2015-06-03,0,0.652
2015-06-03,1,0.718
2015-06-03,2,0.761
2015-06-03,3,0.758
2015-06-03,4,0.665
2015-06-03,5,0.717
2015-06-03,6,0.737
2015-06-03,7,1.53
2015-06-03,8,1.113
2015-06-03,9,0.715
2015-06-03,10,0.811
2015-06-03,11,0.942
2015-06-03,12,0.77
2015-06-03,13,0.748
2015-06-03,14,0.838
2015-06-03,15,0.916
2015-06-03,16,1.419
2015-06-03,17,0.988
2015-06-03,18,1.882
2015-06-03,19,1.905
2015-06-03,20,1.803
2015-06-03,21,1.719
2015-06-03,22,1.194
2015-06-03,23,1.561
2015-06-04,0,0.761
2015-06-04,1,0.724
2015-06-04,2,0.75
2015-06-04,3,0.717
2015-06-04,4,0.734
2015-06-04,5,0.726
2015-06-04,6,0.763
2015-06-04,7,1.38
2015-06-04,8,0.843
2015-06-04,9,0.947
2015-06-04,10,0.784
2015-06-04,11,0.815
2015-06-04,12,1.173
2015-06-04,13,0.821
2015-06-04,14,0.767
2015-06-04,15,0.841
2015-06-04,16,0.927
2015-06-04,17,0.706
2015-06-04,18,1.045
2015-06-04,19,1.099
2015-06-04,20,0.984
2015-06-04,21,1.085
2015-06-04,22,1.165
2015-06-04,23,1.16
2015-06-05,0,0.721
2015-06-05,1,0.692
2015-06-05,2,0.673
2015-06-05,3,0.676
2015-06-05,4,0.68
2015-06-05,5,0.664
2015-06-05,6,0.763
2015-06-05,7,1.378
2015-06-05,8,0.933
2015-06-05,9,0.789
2015-06-05,10,0.744
2015-06-05,11,0.733
2015-06-05,12,0.752
2015-06-05,13,0.743
2015-06-05,14,0.713
2015-06-05,15,0.73
2015-06-05,16,1.043
2015-06-05,17,2.312
2015-06-05,18,2.242
2015-06-05,19,1.05
2015-06-05,20,0.932
2015-06-05,21,1.025
2015-06-05,22,0.76
2015-06-05,23,0.759
2015-06-06,0,0.97
2015-06-06,1,0.73
2015-06-06,2,0.522
2015-06-06,3,0.529
2015-06-06,4,0.524
2015-06-06,5,0.514
2015-06-06,6,0.52
2015-06-06,7,0.661
2015-06-06,8,0.725
2015-06-06,9,0.837
2015-06-06,10,0.893
2015-06-06,11,0.71
2015-06-06,12,0.917
2015-06-06,13,1.121
2015-06-06,14,1.071
2015-06-06,15,0.69
2015-06-06,16,0.713
2015-06-06,17,0.755
2015-06-06,18,0.666
2015-06-06,19,1.796
2015-06-06,20,1.671
2015-06-06,21,1.175
2015-06-06,22,1.039
2015-06-06,23,1.004
2015-06-07,0,1.024
2015-06-07,1,0.766
2015-06-07,2,0.669
2015-06-07,3,0.688
2015-06-07,4,0.647
2015-06-07,5,0.658
2015-06-07,6,0.669
2015-06-07,7,0.751
2015-06-07,8,0.831
2015-06-07,9,1.52
2015-06-07,10,2.449
2015-06-07,11,1.964
2015-06-07,12,2.085
2015-06-07,13,2.392
2015-06-07,14,0.919
2015-06-07,15,0.881
2015-06-07,16,2.185
2015-06-07,17,4.703
2015-06-07,18,3.317
2015-06-07,19,2.194
2015-06-07,20,1.049
2015-06-07,21,0.982
2015-06-07,22,1.153
2015-06-07,23,0.891
2015-06-08,0,0.799
2015-06-08,1,0.729
2015-06-08,2,0.696
2015-06-08,3,0.719
2015-06-08,4,0.695
2015-06-08,5,0.695
2015-06-08,6,0.766
2015-06-08,7,1.302
2015-06-08,8,0.795
2015-06-08,9,0.948
2015-06-08,10,0.826
2015-06-08,11,0.765
2015-06-08,12,0.803
2015-06-08,13,0.77
2015-06-08,14,0.766
2015-06-08,15,0.75
2015-06-08,16,0.726
2015-06-08,17,0.998
2015-06-08,18,2.352
2015-06-08,19,2.569
2015-06-08,20,1.549
2015-06-08,21,0.956
2015-06-08,22,1.068
2015-06-08,23,1.123
2015-06-09,0,0.717
2015-06-09,1,0.711
2015-06-09,2,0.682
2015-06-09,3,0.704
2015-06-09,4,0.685
2015-06-09,5,0.706
2015-06-09,6,0.748
2015-06-09,7,1.492
2015-06-09,8,1.101
2015-06-09,9,0.954
2015-06-09,10,0.758
2015-06-09,11,0.778
2015-06-09,12,0.788
2015-06-09,13,0.73
2015-06-09,14,0.764
2015-06-09,15,0.773
2015-06-09,16,1.338
2015-06-09,17,1.376
2015-06-09,18,2.484
2015-06-09,19,1.5
2015-06-09,20,1.142
2015-06-09,21,1.085
2015-06-09,22,1.322
2015-06-09,23,1.268
2015-06-10,0,0.82
2015-06-10,1,0.788
2015-06-10,2,0.8
2015-06-10,3,0.802
2015-06-10,4,0.806
2015-06-10,5,0.779
2015-06-10,6,0.852
2015-06-10,7,1.422
2015-06-10,8,1.075
2015-06-10,9,0.833
2015-06-10,10,0.862
2015-06-10,11,0.86
2015-06-10,12,0.964
2015-06-10,13,0.759
2015-06-10,14,1.033
2015-06-10,15,2.11
2015-06-10,16,1.132
2015-06-10,17,1.209
2015-06-10,18,1.158
2015-06-10,19,1.989
2015-06-10,20,1.95
2015-06-10,21,1.08
2015-06-10,22,1.146
2015-06-10,23,1.271
2015-06-11,0,0.755
2015-06-11,1,0.767
2015-06-11,2,0.857
2015-06-11,3,0.765
2015-06-11,4,0.74
2015-06-11,5,0.754
2015-06-11,6,0.833
2015-06-11,7,1.407
2015-06-11,8,1.039
2015-06-11,9,0.825
2015-06-11,10,0.847
2015-06-11,11,0.798
2015-06-11,12,0.794
2015-06-11,13,0.8
2015-06-11,14,0.771
2015-06-11,15,0.836
2015-06-11,16,1.09
2015-06-11,17,1.091
2015-06-11,18,0.902
2015-06-11,19,0.974
2015-06-11,20,0.968
2015-06-11,21,0.846
2015-06-11,22,1.196
2015-06-11,23,1.418
2015-06-12,0,0.818
2015-06-12,2,0.78
2015-06-12,3,0.775
2015-06-12,4,0.754
2015-06-12,5,0.735
2015-06-12,6,0.837
2015-06-12,7,1.397
2015-06-12,8,0.947
2015-06-12,9,0.823
2015-06-12,10,0.78
2015-06-12,11,0.797
2015-06-12,12,0.811
2015-06-12,13,0.72
2015-06-12,14,0.743
2015-06-12,15,0.765
2015-06-12,16,0.867
2015-06-12,17,1.744
2015-06-12,18,2.628
2015-06-12,19,1.634
2015-06-12,20,1.516
2015-06-12,21,1.065
2015-06-12,22,1.268
2015-06-12,23,1.459
2015-06-13,0,0.72
2015-06-13,1,0.708
2015-06-13,2,0.718
2015-06-13,3,0.72
2015-06-13,4,0.7
2015-06-13,5,0.705
2015-06-13,6,0.706
2015-06-13,7,0.703
2015-06-13,8,0.707
2015-06-13,9,1.178
2015-06-13,10,2.201
2015-06-13,11,2.321
2015-06-13,12,1.556
2015-06-13,13,1.464
2015-06-13,14,1.266
2015-06-13,15,1.207
2015-06-13,16,1.12
2015-06-13,17,0.896
2015-06-13,18,2.616
2015-06-13,19,1.159
2015-06-13,20,1.242
2015-06-13,21,1.04
2015-06-13,22,1.068
2015-06-13,23,1.023
2015-06-14,0,0.89
2015-06-14,1,0.881
2015-06-14,2,0.775
2015-06-14,3,0.755
2015-06-14,4,0.761
2015-06-14,5,0.733
2015-06-14,6,0.751
2015-06-14,7,0.741
2015-06-14,8,0.789
2015-06-14,9,1.159
2015-06-14,10,1.257
2015-06-14,11,1.284
